Time,Ax,Ay,Az,Gx,Gy,Gz,LAT,LNG,ALT
89911,0.0029296875,-0.0557861328,0.7524414062,-51.8798828125,-6.7138671875,-134.5825195312,53.1135215759,8.8886394501,-13.3000001907
90534,0.1015625,0.001953125,0.9412841797,83.3740234375,10.498046875,47.607421875,53.1135215759,8.8886394501,-13.3000001907
90918,-0.5112304688,-0.4130859375,0.7493896484,-68.603515625,10.5590820312,-88.0126953125,53.1134796143,8.8885965347,-12.8999996185
91531,0.2524414062,-0.2580566406,1.2227783203,115.6005859375,3.41796875,92.4682617188,53.1134796143,8.8885965347,-12.8999996185
91912,-0.0297851562,0.2294921875,0.6201171875,-28.1982421875,-32.8979492188,-153.6254882812,53.1134223938,8.8885612488,-12.1000003815
92531,-0.0308837891,0.0061035156,0.8818359375,53.7719726562,-1.7700195312,79.7119140625,53.1134223938,8.8885612488,-12.1000003815
92911,-0.2203369141,-0.166015625,0.7755126953,-34.423828125,-9.765625,-78.4912109375,53.1133842468,8.8885164261,-11.3999996185
93535,-0.2547607422,0.1311035156,0.7943115234,90.3930664062,6.7138671875,108.7036132812,53.1133842468,8.8885164261,-11.3999996185
93931,0.14453125,0.3284912109,0.8677978516,-49.1333007812,-7.4462890625,-76.7822265625,53.1133384705,8.8884677887,-11.1999998093
94531,-0.1767578125,-0.2169189453,1.0531005859,81.9702148438,-26.5502929688,96.19140625,53.1133384705,8.8884677887,-11.1999998093
94911,0.0139160156,-0.1192626953,0.9221191406,-29.3579101562,0.7934570312,-55.3588867188,53.1132926941,8.8884296417,-11
95532,0.6082763672,-0.1285400391,1.6970214844,68.2373046875,57.2509765625,69.0307617188,53.1132926941,8.8884296417,-11
95927,0.1896972656,-0.0524902344,1.2115478516,-44.3725585938,-0.9765625,-22.7661132812,53.1132507324,8.8883857727,-10
96534,0.1177978516,-0.2010498047,1.1889648438,96.6796875,-1.46484375,54.443359375,53.1132507324,8.8883857727,-10
96914,-0.0668945312,-0.0943603516,0.9130859375,-5.9204101562,-2.0751953125,-63.8427734375,53.1132087708,8.8883581161,-10.1000003815
97532,-0.0405273438,-0.2646484375,0.9626464844,78.9184570312,-8.4228515625,4.2724609375,53.1132087708,8.8883581161,-10.1000003815
97913,-0.0266113281,0.1076660156,1.0148925781,-125.6103515625,-19.3481445312,-124.4506835938,53.1131706238,8.8883285522,-9.5
98534,0.2839355469,-0.1613769531,1.1342773438,101.0131835938,20.01953125,147.1557617188,53.1131706238,8.8883285522,-9.5
98914,-0.0517578125,-0.1357421875,0.669921875,-41.748046875,31.1279296875,-39.55078125,53.1131210327,8.8882856369,-8.8000001907
99532,0.2169189453,-0.1688232422,1.2469482422,150.390625,-3.1127929688,99.0600585938,53.1131210327,8.8882856369,-8.8000001907
99913,0.1773681641,0.1176757812,0.9447021484,-97.2900390625,-0.4272460938,-135.498046875,53.113079071,8.8882513046,-8.8000001907
100532,0,-0.0737304688,1.0589599609,70.6787109375,7.6904296875,28.80859375,53.113079071,8.8882513046,-8.8000001907
100926,0.0939941406,-0.0075683594,0.9697265625,-82.763671875,-40.1611328125,20.8740234375,53.11302948,8.8882293701,-8
101531,0.1839599609,-0.1571044922,0.8995361328,122.9248046875,5.5541992188,11.0473632812,53.11302948,8.8882293701,-8
101912,-0.0323486328,0.0540771484,1.2137451172,-65.3076171875,0.4272460938,-110.6567382812,53.1129837036,8.8882026672,-7.6999998093
102531,0.1507568359,-0.2139892578,0.9759521484,52.978515625,-8.4838867188,-16.11328125,53.1129837036,8.8882026672,-7.6999998093
102927,0.0231933594,0.0987548828,0.9836425781,-119.140625,-2.3193359375,-71.1669921875,53.1129379272,8.8881759644,-7.5
103532,0.1412353516,-0.2208251953,0.9393310547,76.5991210938,-16.7236328125,25.146484375,53.1129379272,8.8881759644,-7.5
103912,0.0213623047,0.0753173828,0.9381103516,-75.68359375,1.1596679688,-57.8002929688,53.1128921509,8.8881454468,-7.8000001907
104534,0.0208740234,-0.1505126953,0.8831787109,39.0625,2.1362304688,-73.73046875,53.1128921509,8.8881454468,-7.8000001907
104974,0.4119873047,-0.005859375,1.1502685547,-81.6040039062,9.0942382812,-28.1982421875,53.1128463745,8.8881044388,-8
105532,0.0291748047,-0.1328125,0.8839111328,31.494140625,5.7983398438,-4.8217773438,53.1128463745,8.8881044388,-8
105914,0.1099853516,0.0970458984,0.8288574219,-114.2578125,-1.953125,-30.4565429688,53.1127967834,8.888086319,-6.9000000954
106533,0.1740722656,-0.3269042969,1.2724609375,87.0361328125,23.4375,20.8129882812,53.1127967834,8.888086319,-6.9000000954
106913,0.0592041016,0.1661376953,0.9321289062,-44.921875,-17.7001953125,-64.3310546875,53.1127510071,8.8880624771,-6.5999999046
107532,-0.4168701172,0.7890625,0.0338134766,85.6323242188,-119.6899414062,-67.7490234375,53.1127510071,8.8880624771,-6.5999999046
107913,1.1275634766,0.3796386719,1.8824462891,-59.6923828125,9.8876953125,-7.2021484375,53.1127052307,8.8880310059,-6.9000000954
108535,0.6042480469,-0.3999023438,1.6495361328,13.0615234375,-41.8701171875,-8.1176757812,53.1127052307,8.8880310059,-6.9000000954
