"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.150734357E2,5.311328905E1,8.888309827E0,2.259413119E0,4.372882448E0,2.110230895E2,4.876209851E0,4.876209851E0
1.160734251E2,5.311324067E1,8.888274871E0,3.399318849E0,4.859346592E0,2.060773908E2,4.898964296E0,4.898964296E0
1.170735949E2,5.311319953E1,8.888241975E0,2.965700063E0,4.862530035E0,2.038849124E2,4.900854363E0,4.900854363E0
1.180733964E2,5.311315866E1,8.888197340E0,1.313796820E0,5.050113315E0,2.063449623E2,4.910165488E0,4.910165488E0
1.190733823E2,5.311313077E1,8.888150792E0,1.040736447E0,4.331939472E0,2.135778731E2,4.911492837E0,4.911492837E0
1.200733687E2,5.311311679E1,8.888124486E0,-6.683886545E-1,2.927031119E0,2.188453883E2,4.925770479E0,4.925770479E0
1.210733559E2,5.311306496E1,8.888100148E0,9.881854709E-2,3.629243291E0,2.067619875E2,4.935289532E0,4.935289532E0
1.220733409E2,5.311301084E1,8.888073994E0,2.800497422E-1,4.499584075E0,1.999836466E2,4.937691567E0,4.937691567E0
1.230733271E2,5.311295182E1,8.888032247E0,2.206443975E0,5.381187387E0,2.014362532E2,4.936264771E0,4.936264771E0
1.240733147E2,5.311290875E1,8.887980813E0,1.612968548E0,5.169059931E0,2.064580728E2,4.940571102E0,4.940571102E0
1.250733011E2,5.311285795E1,8.887938645E0,1.912955985E0,5.356545883E0,2.055578265E2,4.960833008E0,4.960833008E0
1.260732887E2,5.311281809E1,8.887905297E0,8.178066593E-1,4.983762265E0,2.069076613E2,4.973126558E0,4.973126558E0
1.270732751E2,5.311277926E1,8.887873608E0,1.212227129E0,4.482202808E0,2.091334028E2,4.963456807E0,4.963456807E0
1.280732623E2,5.311273690E1,8.887852211E0,-4.675894976E-2,4.402186622E0,2.054067658E2,4.961002058E0,4.961002058E0
1.290732497E2,5.311268894E1,8.887832628E0,5.512570012E-1,4.306257123E0,2.008437364E2,4.930010419E0,4.930010419E0
1.300732324E2,5.311265355E1,8.887800369E0,1.690288723E0,3.958697315E0,2.060434143E2,4.929154409E0,4.929154409E0
1.310732208E2,5.311263083E1,8.887779800E0,3.912909105E-1,3.079653428E0,2.079477771E2,4.921512062E0,4.921512062E0
1.320732049E2,5.311258755E1,8.887750627E0,1.587983283E0,3.671622509E0,2.056780769E2,4.965590338E0,4.965590338E0
1.330749688E2,5.311254158E1,8.887711055E0,3.198833279E0,4.394099883E0,2.064707339E2,5.001067725E0,5.001067725E0
1.340749801E2,5.311250140E1,8.887685402E0,4.193901083E0,4.438270790E0,2.034959007E2,5.025262705E0,5.025262705E0
1.350749587E2,5.311244346E1,8.887643496E0,4.062343765E0,5.326065270E0,2.035892696E2,5.041300492E0,5.041300492E0
1.360749564E2,5.311238752E1,8.887609001E0,3.192094324E0,5.666331856E0,2.020798137E2,5.066263565E0,5.066263565E0
1.370749520E2,5.311234284E1,8.887570198E0,1.606580565E0,5.119911435E0,2.038450513E2,5.052351217E0,5.052351217E0
1.380749283E2,5.311231158E1,8.887542368E0,1.365327854E0,4.473546046E0,2.057563851E2,5.061216318E0,5.061216318E0
1.390749429E2,5.311226866E1,8.887509794E0,1.195560299E0,4.498338431E0,2.065860875E2,5.065340490E0,5.065340490E0
1.400749235E2,5.311223644E1,8.887488154E0,8.532798495E-1,3.533192987E0,2.065331832E2,5.031692275E0,5.031692275E0
1.410748996E2,5.311219476E1,8.887462296E0,3.960754471E-1,3.413460480E0,2.048732402E2,5.005693316E0,5.005693316E0
1.420749041E2,5.311214324E1,8.887419454E0,1.970442579E0,4.338149043E0,2.072533907E2,5.012696600E0,5.012696600E0
1.430749067E2,5.311210825E1,8.887390829E0,1.014357694E0,4.254880356E0,2.074160164E2,5.010961486E0,5.010961486E0
1.440748818E2,5.311206512E1,8.887362685E0,1.538032901E0,4.333590393E0,2.058624035E2,5.002026707E0,5.002026707E0
1.450748817E2,5.311201568E1,8.887339077E0,5.891830716E-1,4.535402887E0,2.039240297E2,4.992978577E0,4.992978577E0
1.460748791E2,5.311197167E1,8.887319203E0,8.225086993E-1,4.374593260E0,2.012182749E2,4.997018378E0,4.997018378E0
1.470748528E2,5.311191667E1,8.887287862E0,1.516023390E0,4.855741315E0,2.011662235E2,5.031329614E0,5.031329614E0
1.480748279E2,5.311186895E1,8.887241083E0,2.701699992E0,5.105699840E0,2.073835013E2,5.037771938E0,5.037771938E0
